,topic,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
11520,shopping,DZ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,1000000,18-24
11521,shopping,EG,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,2100000,18-24
11522,shopping,IQ,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,1300000,18-24
11523,shopping,JO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,230000,18-24
11524,shopping,KW,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,20000,18-24
11525,shopping,LB,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,130000,18-24
11526,shopping,LY,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,110000,18-24
11527,shopping,MA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,810000,18-24
11528,shopping,OM,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,30000,18-24
11529,shopping,QA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,3900,18-24
11530,shopping,SA,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,820000,18-24
11531,shopping,SO,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,13000,18-24
11532,shopping,TN,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,290000,18-24
11533,shopping,AE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,34000,18-24
11534,shopping,YE,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,140000,18-24
11535,shopping,PS,Locals,Male,False,Arabic,NOTSELECTED,24.0,18,ND,51000,18-24
11536,shopping,DZ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,66000,18-24
11537,shopping,EG,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,230000,18-24
11538,shopping,IQ,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,180000,18-24
11539,shopping,JO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,37000,18-24
11540,shopping,KW,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,34000,18-24
11541,shopping,LB,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,90000,18-24
11542,shopping,LY,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,11000,18-24
11543,shopping,MA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,83000,18-24
11544,shopping,OM,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,31000,18-24
11545,shopping,QA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,24000,18-24
11546,shopping,SA,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,1200000,18-24
11547,shopping,SO,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,45000,18-24
11548,shopping,TN,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,42000,18-24
11549,shopping,AE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,150000,18-24
11550,shopping,YE,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,6500,18-24
11551,shopping,PS,Locals,Male,False,English,NOTSELECTED,24.0,18,ND,5800,18-24
