,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,topic,location
36,18-24,1.0,ALL,Graduated,NOTSELECTED,970,Dengue Fever,West Zone (rich)
37,18-24,1.0,ALL,No Degree,NOTSELECTED,770,Dengue Fever,West Zone (rich)
38,18-24,1.0,ALL,High School,NOTSELECTED,1000,Dengue Fever,West Zone (rich)
39,18-24,1.0,ALL,Graduated,NOTSELECTED,860,Dengue Fever,East Zone (poor)
40,18-24,1.0,ALL,No Degree,NOTSELECTED,620,Dengue Fever,East Zone (poor)
41,18-24,1.0,ALL,High School,NOTSELECTED,870,Dengue Fever,East Zone (poor)
42,25-44,1.0,ALL,Graduated,NOTSELECTED,3300,Dengue Fever,West Zone (rich)
43,25-44,1.0,ALL,No Degree,NOTSELECTED,1700,Dengue Fever,West Zone (rich)
44,25-44,1.0,ALL,High School,NOTSELECTED,1400,Dengue Fever,West Zone (rich)
45,25-44,1.0,ALL,Graduated,NOTSELECTED,2400,Dengue Fever,East Zone (poor)
46,25-44,1.0,ALL,No Degree,NOTSELECTED,1700,Dengue Fever,East Zone (poor)
47,25-44,1.0,ALL,High School,NOTSELECTED,1100,Dengue Fever,East Zone (poor)
48,45+,1.0,ALL,Graduated,NOTSELECTED,2600,Dengue Fever,West Zone (rich)
49,45+,1.0,ALL,No Degree,NOTSELECTED,2200,Dengue Fever,West Zone (rich)
50,45+,1.0,ALL,High School,NOTSELECTED,920,Dengue Fever,West Zone (rich)
51,45+,1.0,ALL,Graduated,NOTSELECTED,1700,Dengue Fever,East Zone (poor)
52,45+,1.0,ALL,No Degree,NOTSELECTED,2100,Dengue Fever,East Zone (poor)
53,45+,1.0,ALL,High School,NOTSELECTED,960,Dengue Fever,East Zone (poor)
54,18-24,2.0,ALL,Graduated,NOTSELECTED,1100,Dengue Fever,West Zone (rich)
55,18-24,2.0,ALL,No Degree,NOTSELECTED,970,Dengue Fever,West Zone (rich)
56,18-24,2.0,ALL,High School,NOTSELECTED,1400,Dengue Fever,West Zone (rich)
57,18-24,2.0,ALL,Graduated,NOTSELECTED,880,Dengue Fever,East Zone (poor)
58,18-24,2.0,ALL,No Degree,NOTSELECTED,760,Dengue Fever,East Zone (poor)
59,18-24,2.0,ALL,High School,NOTSELECTED,1200,Dengue Fever,East Zone (poor)
60,25-44,2.0,ALL,Graduated,NOTSELECTED,9700,Dengue Fever,West Zone (rich)
61,25-44,2.0,ALL,No Degree,NOTSELECTED,5600,Dengue Fever,West Zone (rich)
62,25-44,2.0,ALL,High School,NOTSELECTED,4400,Dengue Fever,West Zone (rich)
63,25-44,2.0,ALL,Graduated,NOTSELECTED,7600,Dengue Fever,East Zone (poor)
64,25-44,2.0,ALL,No Degree,NOTSELECTED,4100,Dengue Fever,East Zone (poor)
65,25-44,2.0,ALL,High School,NOTSELECTED,3400,Dengue Fever,East Zone (poor)
66,45+,2.0,ALL,Graduated,NOTSELECTED,7600,Dengue Fever,West Zone (rich)
67,45+,2.0,ALL,No Degree,NOTSELECTED,11000,Dengue Fever,West Zone (rich)
68,45+,2.0,ALL,High School,NOTSELECTED,3900,Dengue Fever,West Zone (rich)
69,45+,2.0,ALL,Graduated,NOTSELECTED,6800,Dengue Fever,East Zone (poor)
70,45+,2.0,ALL,No Degree,NOTSELECTED,11000,Dengue Fever,East Zone (poor)
71,45+,2.0,ALL,High School,NOTSELECTED,4100,Dengue Fever,East Zone (poor)
